INSTNM,STABBR,CONTROL,COMPL_RPY_1YR_RT,PCTPELL,COSTT4_A,MD_EARN_WNE_P10,GRAD_DEBT_MDN,COMPL_RPY_3YR_RT,UGDS,PREDDEG,repayment_risk
Bay de Noc Community College,MI,1,0.5488958991,0.242,19020.0,35090.0,12618.0,0.6043613707,1223.0,2,0
Calvin University,MI,2,0.8614318707,0.1743,54222.0,58375.0,23250.0,0.8936170213,3193.0,3,0
Carnegie Institute,MI,3,0.6396396396,0.6311,21852.0,38244.0,9336.0,0.7074235808,93.0,1,0
Central Michigan University,MI,1,0.6056527591,0.3143,30681.0,55874.0,27000.0,0.6498395722,10035.0,3,0
Mott Community College,MI,1,0.4230254351,0.4209,15460.0,32538.0,13000.0,0.4793814433,5251.0,2,0
Empire Beauty School-Michigan,MI,3,0.2897727273,0.5335,,22377.0,10667.0,0.3290203327,259.0,1,1
Cleary University,MI,2,0.509202454,0.2988,39718.0,54186.0,19500.0,0.5988023952,738.0,3,0
Concordia University Ann Arbor,MI,2,0.6794871795,0.2414,51853.0,56075.0,25750.0,0.7299168975,702.0,3,0
College for Creative Studies,MI,2,0.6486486486,0.3002,66014.0,44860.0,26000.0,0.6853333333,1230.0,3,0
Davenport University,MI,2,0.4945652174,0.338,37319.0,45099.0,26000.0,0.5694174757,3134.0,3,0
David Pressley School of Cosmetology,MI,3,0.4396551724,0.5193,,22973.0,6333.0,0.4705882353,225.0,1,0
Delta College,MI,1,0.526618705,0.3772,13541.0,37781.0,10978.0,0.5690834473,6573.0,2,0
Universal Technical Institute-Canton,MI,3,0.4521276596,0.2942,29172.0,62575.0,12801.0,0.5151116951,1417.0,1,0
University of Detroit Mercy,MI,2,0.7568238213,0.2634,42211.0,71030.0,23250.0,0.8230958231,2438.0,3,0
Dorsey College,MI,3,0.2099676973,0.7422,34227.0,29392.0,13000.0,0.2515981735,643.0,1,1
Eastern Michigan University,MI,1,0.5300304456,0.3664,29640.0,51793.0,25000.0,0.594687915,10055.0,3,0
Ferris State University,MI,1,0.6619841967,0.3423,27048.0,54735.0,21000.0,0.7215843858,8106.0,3,0
Glen Oaks Community College,MI,1,0.4375,0.2527,17124.0,37540.0,10794.0,0.489010989,600.0,2,0
Kettering University,MI,2,0.9512987013,0.1698,61250.0,94823.0,27000.0,0.9616613419,1205.0,3,0
Gogebic Community College,MI,1,0.6494845361,0.3012,14456.0,40950.0,10925.0,0.6974358974,511.0,2,0
Grace Christian University,MI,2,0.6805555556,0.4691,26166.0,41663.0,24375.0,0.7066666667,716.0,3,0
Cornerstone University,MI,2,0.6655290102,0.3276,42043.0,47314.0,25000.0,0.7166123779,1298.0,3,0
Grand Rapids Community College,MI,1,0.5024271845,0.2861,15658.0,38377.0,9000.0,0.5572755418,10698.0,2,0
Grand Valley State University,MI,1,0.6704230556,0.2923,28367.0,56118.0,24500.0,0.7077225599,18854.0,3,0
Henry Ford College,MI,1,0.3428270042,0.4554,11784.0,34795.0,14250.0,0.3882926829,8643.0,1,1
Hope College,MI,2,0.8238993711,0.1648,55646.0,58427.0,26800.0,0.8486646884,3288.0,3,0
Kalamazoo College,MI,2,0.8096774194,0.2575,74208.0,65590.0,26077.0,0.8566775244,1149.0,3,0
Kalamazoo Valley Community College,MI,1,0.4357976654,0.2818,11386.0,38618.0,9699.0,0.476070529,4997.0,2,0
Kellogg Community College,MI,1,0.3675675676,0.2547,12420.0,38329.0,17000.0,0.40625,2971.0,2,1
Kirtland Community College,MI,1,0.4885844749,0.3551,15990.0,35831.0,13067.0,0.577092511,1023.0,2,0
Michigan College of Beauty-Monroe,MI,3,0.4885496183,0.407,,22766.0,6333.0,0.4923076923,70.0,1,0
Lake Michigan College,MI,1,0.5202020202,0.2627,15917.0,34466.0,9000.0,0.5660377358,2105.0,2,0
Lake Superior State University,MI,1,0.6814671815,0.2654,27154.0,49045.0,23250.0,0.75,1325.0,3,0
Lansing Community College,MI,1,0.4545454545,0.2825,13013.0,39206.0,12700.0,0.4926829268,8207.0,2,0
Lawrence Technological University,MI,2,0.7622377622,0.155,58166.0,69151.0,27000.0,0.8154897494,1668.0,3,0
Macomb Community College,MI,1,0.6578947368,0.3368,11912.0,41596.0,6000.0,0.6859205776,13876.0,2,0
Madonna University,MI,2,0.5243243243,0.304,41038.0,59058.0,23000.0,0.5777027027,1632.0,3,0
Rochester University,MI,2,0.5029761905,0.309,41787.0,48707.0,24475.0,0.5316091954,792.0,3,0
University of Michigan-Ann Arbor,MI,1,0.7991202346,0.1813,34654.0,83648.0,19500.0,0.8268268268,34177.0,3,0
Michigan State University,MI,1,0.70206644,0.2009,32198.0,67253.0,23250.0,0.744590369,40922.0,3,0
